"game_id","team","opponent","points_for","points_against","home","winner","win","offensive_epa","success_rate","explosive_rate","yards_per_play","pass_rate","rush_rate","red_zone_td_rate","turnovers","fourth_down_attempts","third_down_conv_rate","fourth_down_conv_rate"
"2022_09_BAL_NO","BAL","NO",27,13,0,"BAL",1,0.121200704427577,0.48780487804878,0.0731707317073171,3.93827160493827,0.308641975308642,0.493827160493827,0.024390243902439,0,0,0.6,NA
"2022_09_BUF_NYJ","BUF","NYJ",17,20,0,"NYJ",0,0.00335099859281003,0.466666666666667,0.04,4.34246575342466,0.534246575342466,0.301369863013699,0.0133333333333333,2,1,0.615384615384615,0
"2022_09_CAR_CIN","CAR","CIN",21,42,0,"CIN",0,-0.0151352014621234,0.378787878787879,0.0454545454545455,3.45454545454545,0.454545454545455,0.272727272727273,0.0303030303030303,3,1,0.25,1
"2022_09_GB_DET","GB","DET",9,15,0,"DET",0,-0.121515625066785,0.3875,0.075,4.92405063291139,0.569620253164557,0.316455696202532,0.0125,3,4,0.533333333333333,0.25
"2022_09_IND_NE","IND","NE",3,26,0,"NE",0,-0.540814328901456,0.25609756097561,0.0240963855421687,1.49382716049383,0.469135802469136,0.271604938271605,0,1,2,0,0
"2022_09_LAC_ATL","LAC","ATL",20,17,0,"LAC",1,-0.0154829622105991,0.409638554216867,0.0602409638554217,4.09756097560976,0.524390243902439,0.292682926829268,0.0240963855421687,2,1,0.5,1
"2022_09_LA_TB","LA","TB",13,16,0,"TB",0,-0.135655697274105,0.263157894736842,0.051948051948052,2.74666666666667,0.413333333333333,0.32,0,0,0,0.266666666666667,NA
"2022_09_LV_JAX","LV","JAX",20,27,0,"JAX",0,0.0292531941687939,0.378378378378378,0.0945945945945946,4.3972602739726,0.520547945205479,0.26027397260274,0,1,3,0.25,0.333333333333333
"2022_09_MIA_CHI","MIA","CHI",35,32,0,"MIA",1,0.206896166324479,0.442857142857143,0.0985915492957746,5.41428571428571,0.428571428571429,0.328571428571429,0.0563380281690141,0,2,0.5,0
"2022_09_MIN_WAS","MIN","WAS",20,17,0,"MIN",1,0.00690384506752754,0.397590361445783,0.0481927710843374,3.67073170731707,0.524390243902439,0.268292682926829,0.0240963855421687,1,0,0.4375,NA
"2022_09_PHI_HOU","PHI","HOU",29,17,0,"PHI",1,0.123781800442142,0.551282051282051,0.113924050632911,4.7012987012987,0.402597402597403,0.415584415584416,0.0506329113924051,1,2,0.5,1
"2022_09_SEA_ARI","SEA","ARI",31,21,0,"SEA",1,0.0439409719680816,0.48314606741573,0.0888888888888889,4.78409090909091,0.409090909090909,0.386363636363636,0.0444444444444444,1,1,0.666666666666667,0
"2022_09_TEN_KC","TEN","KC",17,20,0,"KC",0,-0.0574508662283961,0.333333333333333,0.0579710144927536,3.36764705882353,0.279411764705882,0.426470588235294,0.0289855072463768,0,1,0.0909090909090909,0
"2022_10_ARI_LA","ARI","LA",27,17,0,"ARI",1,-0.0157103891986677,0.388235294117647,0.0232558139534884,3.54761904761905,0.464285714285714,0.30952380952381,0.0348837209302326,0,3,0.333333333333333,1
"2022_10_ATL_CAR","ATL","CAR",15,25,0,"CAR",0,-0.141156116168552,0.40506329113924,0.1,3.73076923076923,0.448717948717949,0.320512820512821,0.0125,1,2,0.272727272727273,0
"2022_10_CLE_MIA","CLE","MIA",17,39,0,"MIA",0,-0.0198769187076708,0.444444444444444,0.0617283950617284,3.7125,0.475,0.3,0.0123456790123457,1,5,0.416666666666667,0.4
"2022_10_DAL_GB","DAL","GB",28,31,0,"GB",0,0.0598584346489895,0.474747474747475,0.101010101010101,4.29591836734694,0.489795918367347,0.316326530612245,0.0303030303030303,3,3,0.333333333333333,0.666666666666667
"2022_10_DEN_TEN","DEN","TEN",10,17,0,"TEN",0,-0.0987850547542568,0.34,0.05,3.19387755102041,0.489795918367347,0.255102040816327,0,1,3,0.235294117647059,0.666666666666667
"2022_10_DET_CHI","DET","CHI",31,30,0,"DET",1,0.100623908734306,0.493506493506494,0.102564102564103,4.19480519480519,0.363636363636364,0.402597402597403,0.0384615384615385,0,1,0.454545454545455,1
"2022_10_HOU_NYG","HOU","NYG",16,24,0,"NYG",0,0.00438969603716623,0.444444444444444,0.0987654320987654,4.89873417721519,0.518987341772152,0.240506329113924,0.0123456790123457,2,0,0.3,NA
"2022_10_IND_LV","IND","LV",25,20,0,"IND",1,0.0508710069732147,0.474358974358974,0.0759493670886076,5.38961038961039,0.402597402597403,0.38961038961039,0.0126582278481013,1,0,0.545454545454545,NA
"2022_10_JAX_KC","JAX","KC",17,27,0,"KC",0,-0.0426014930654306,0.432098765432099,0.0617283950617284,3.9375,0.5625,0.2,0.0246913580246914,0,2,0.285714285714286,1
"2022_10_LAC_SF","LAC","SF",16,22,0,"SF",0,-0.109162649205047,0.289473684210526,0.0657894736842105,3.21621621621622,0.540540540540541,0.216216216216216,0,1,1,0.375,0
"2022_10_MIN_BUF","MIN","BUF",33,30,0,"MIN",1,0.0316326482349061,0.435643564356436,0.108910891089109,4.76237623762376,0.534653465346535,0.247524752475248,0.0099009900990099,2,5,0.411764705882353,0.6
"2022_10_NO_PIT","NO","PIT",10,20,0,"PIT",0,-0.18481091547162,0.360655737704918,0.0163934426229508,3.04918032786885,0.491803278688525,0.245901639344262,0.0163934426229508,2,1,0.25,0
"2022_10_SEA_TB","SEA","TB",16,21,0,"TB",0,0.0493131666307641,0.545454545454545,0.0303030303030303,4.28787878787879,0.560606060606061,0.212121212121212,0.0151515151515152,1,2,0.111111111111111,1
"2022_10_WAS_PHI","WAS","PHI",32,21,0,"WAS",1,0.0985805667590604,0.494949494949495,0.0404040404040404,3.36734693877551,0.326530612244898,0.5,0.0202020202020202,2,1,0.571428571428571,1
"2022_11_CAR_BAL","CAR","BAL",3,13,0,"BAL",0,-0.298269402414412,0.361111111111111,0.0416666666666667,2.84722222222222,0.513888888888889,0.236111111111111,0,3,1,0.25,0
"2022_11_CHI_ATL","CHI","ATL",24,27,0,"ATL",0,0.0270693446662191,0.413793103448276,0.0459770114942529,3.38823529411765,0.294117647058824,0.482352941176471,0.0344827586206897,2,0,0.5625,NA
"2022_11_CIN_PIT","CIN","PIT",37,30,0,"CIN",1,0.187689483115181,0.523809523809524,0.0823529411764706,4.85714285714286,0.488095238095238,0.285714285714286,0.0352941176470588,2,0,0.333333333333333,NA
"2022_11_CLE_BUF","CLE","BUF",23,31,0,"BUF",0,0.0168494036178055,0.473684210526316,0.0947368421052632,4.21276595744681,0.457446808510638,0.276595744680851,0.0210526315789474,1,2,0.363636363636364,0.5
"2022_11_DAL_MIN","DAL","MIN",40,3,0,"DAL",1,0.271181143627951,0.505882352941176,0.0941176470588235,5.45238095238095,0.357142857142857,0.476190476190476,0.0235294117647059,0,0,0.705882352941177,NA
"2022_11_DET_NYG","DET","NYG",31,18,0,"DET",1,0.103688032855866,0.481927710843373,0.0833333333333333,3.96341463414634,0.317073170731707,0.451219512195122,0.0476190476190476,0,0,0.461538461538462,NA
"2022_11_KC_LAC","KC","LAC",30,27,0,"KC",1,0.169521755033769,0.481481481481481,0.109756097560976,6.13924050632911,0.443037974683544,0.341772151898734,0.024390243902439,1,0,0.5,NA
"2022_11_LA_NO","LA","NO",20,27,0,"NO",0,-0.0366426766686306,0.390243902439024,0.0731707317073171,4.14814814814815,0.395061728395062,0.37037037037037,0.0121951219512195,0,2,0.357142857142857,0.5
"2022_11_LV_DEN","LV","DEN",22,16,0,"LV",1,0.0780484691156764,0.44578313253012,0.120481927710843,4.96341463414634,0.463414634146341,0.292682926829268,0,0,0,0.272727272727273,NA
"2022_11_NYJ_NE","NYJ","NE",3,10,0,"NE",0,-0.359339271951631,0.295774647887324,0.0277777777777778,1.49275362318841,0.376811594202899,0.333333333333333,0,0,0,0.214285714285714,NA
"2022_11_PHI_IND","PHI","IND",17,16,0,"PHI",1,-0.162250143899461,0.426829268292683,0.0843373493975904,3.87654320987654,0.345679012345679,0.407407407407407,0.0120481927710843,2,2,0.416666666666667,0.5
"2022_11_SF_ARI","SF","ARI",38,10,0,"SF",1,0.29810003147441,0.547945205479452,0.0675675675675676,5.375,0.402777777777778,0.388888888888889,0.027027027027027,0,0,0.545454545454545,NA
"2022_11_TEN_GB","TEN","GB",27,17,0,"TEN",1,0.110181016228601,0.493670886075949,0.0625,5.2987012987013,0.415584415584416,0.415584415584416,0.05,1,2,0.538461538461538,0.5
"2022_11_WAS_HOU","WAS","HOU",23,10,0,"WAS",1,-0.0454522543225143,0.435294117647059,0.0581395348837209,4.14457831325301,0.325301204819277,0.481927710843373,0.0116279069767442,0,2,0.230769230769231,1
"2022_12_ATL_WAS","ATL","WAS",13,19,0,"WAS",0,0.00430398901391272,0.449275362318841,0.144927536231884,4.81159420289855,0.376811594202899,0.420289855072464,0.0144927536231884,1,1,0.4,0
"2022_12_BAL_JAX","BAL","JAX",27,28,0,"JAX",0,0.0894967851246284,0.454545454545455,0.0909090909090909,4.90588235294118,0.4,0.411764705882353,0.0227272727272727,2,1,0.571428571428571,0
"2022_12_BUF_DET","BUF","DET",28,25,0,"BUF",1,0.0903467874684885,0.489130434782609,0.0652173913043478,4.35869565217391,0.489130434782609,0.315217391304348,0.0326086956521739,1,0,0.583333333333333,NA
"2022_12_CHI_NYJ","CHI","NYJ",10,31,0,"NYJ",0,-0.0780818383526646,0.333333333333333,0.111111111111111,4.17142857142857,0.385714285714286,0.414285714285714,0.0138888888888889,1,3,0.307692307692308,0.666666666666667
"2022_12_CIN_TEN","CIN","TEN",20,16,0,"CIN",1,0.0573876316000718,0.441860465116279,0.103448275862069,4.4,0.447058823529412,0.329411764705882,0.0114942528735632,0,0,0.357142857142857,NA
"2022_12_DEN_CAR","DEN","CAR",10,23,0,"CAR",0,-0.171353249219038,0.358974358974359,0.0512820512820513,3.23684210526316,0.5,0.25,0.0128205128205128,3,1,0.285714285714286,0
"2022_12_GB_PHI","GB","PHI",33,40,0,"PHI",0,0.167719632796411,0.5,0.121212121212121,5.18181818181818,0.424242424242424,0.318181818181818,0.0303030303030303,2,1,0.142857142857143,1
"2022_12_HOU_MIA","HOU","MIA",15,30,0,"MIA",0,-0.311731119393353,0.311688311688312,0.025974025974026,2.76315789473684,0.592105263157895,0.197368421052632,0.012987012987013,3,1,0.153846153846154,1
"2022_12_LAC_ARI","LAC","ARI",25,24,0,"LAC",1,0.00866915740322993,0.419753086419753,0.037037037037037,3.8641975308642,0.641975308641975,0.160493827160494,0.0246913580246914,0,0,0.461538461538462,NA
"2022_12_LA_KC","LA","KC",10,26,0,"KC",0,-0.0863373436635813,0.323943661971831,0.0416666666666667,2.8695652173913,0.391304347826087,0.405797101449275,0.0138888888888889,3,3,0.384615384615385,1
"2022_12_LV_SEA","LV","SEA",40,34,0,"LV",1,0.11787803192169,0.479591836734694,0.102040816326531,5.87755102040816,0.377551020408163,0.408163265306122,0.0204081632653061,2,2,0.571428571428571,0.5
"2022_12_NE_MIN","NE","MIN",26,33,0,"MIN",0,0.0499355759895243,0.422535211267606,0.111111111111111,5.76056338028169,0.591549295774648,0.183098591549296,0,0,1,0.3,0
"2022_12_NO_SF","NO","SF",0,13,0,"SF",0,-0.248630733237418,0.338028169014085,0.0422535211267606,3.82352941176471,0.455882352941176,0.323529411764706,0,2,1,0.363636363636364,0
"2022_12_NYG_DAL","NYG","DAL",20,28,0,"DAL",0,-0.0255596496112335,0.4,0.075,3.79746835443038,0.481012658227848,0.265822784810127,0.025,0,2,0.272727272727273,0
